filename,width,height,class,xmin,ymin,xmax,ymax
3.6.jpg,1008,756,3,362,168,428,277
3.6.jpg,1008,756,3,445,163,526,280
3.6.jpg,1008,756,3,546,173,601,280
3.6.jpg,1008,756,3,612,174,664,283
3.6.jpg,1008,756,3,683,169,734,280
3.6.jpg,1008,756,3,375,286,422,369
3.6.jpg,1008,756,3,457,282,510,373
3.6.jpg,1008,756,3,542,288,592,382
3.6.jpg,1008,756,3,609,282,653,375
3.6.jpg,1008,756,3,685,282,729,377
3.6.jpg,1008,756,3,366,369,423,462
3.6.jpg,1008,756,3,454,375,509,465
3.6.jpg,1008,756,3,534,377,592,459
3.6.jpg,1008,756,3,597,379,640,458
3.6.jpg,1008,756,3,664,375,718,474
>.10.jpg,1008,756,>,369,246,423,329
>.10.jpg,1008,756,>,448,246,510,317
>.10.jpg,1008,756,>,538,247,591,326
>.10.jpg,1008,756,>,611,250,653,326
>.10.jpg,1008,756,>,674,248,723,326
>.10.jpg,1008,756,>,371,341,417,411
>.10.jpg,1008,756,>,440,340,504,412
>.10.jpg,1008,756,>,510,344,570,407
>.10.jpg,1008,756,>,583,344,652,411
>.10.jpg,1008,756,>,662,344,720,416
>.10.jpg,1008,756,>,369,421,422,486
>.10.jpg,1008,756,>,438,429,491,485
>.10.jpg,1008,756,>,504,429,557,492
>.10.jpg,1008,756,>,569,429,623,505
>.10.jpg,1008,756,>,640,433,697,510
=.9.jpg,1008,756,=,65,91,239,222
=.9.jpg,1008,756,=,285,87,439,212
=.9.jpg,1008,756,=,479,91,628,232
=.9.jpg,1008,756,=,660,82,783,223
=.9.jpg,1008,756,=,827,82,957,233
=.9.jpg,1008,756,=,62,271,239,423
=.9.jpg,1008,756,=,263,251,397,395
=.9.jpg,1008,756,=,411,251,559,404
=.9.jpg,1008,756,=,585,258,746,397
=.9.jpg,1008,756,=,775,257,929,411
=.9.jpg,1008,756,=,99,505,246,645
=.9.jpg,1008,756,=,252,494,416,645
=.9.jpg,1008,756,=,432,494,563,648
=.9.jpg,1008,756,=,589,498,744,646
=.9.jpg,1008,756,=,765,486,915,633
1.4.jpg,1008,756,1,204,213,260,347
1.4.jpg,1008,756,1,287,185,350,341
1.4.jpg,1008,756,1,375,148,464,328
1.4.jpg,1008,756,1,507,117,594,317
1.4.jpg,1008,756,1,683,64,763,270
1.4.jpg,1008,756,1,220,377,271,505
1.4.jpg,1008,756,1,295,358,363,491
1.4.jpg,1008,756,1,413,334,470,471
1.4.jpg,1008,756,1,539,322,598,460
1.4.jpg,1008,756,1,688,303,768,485
1.4.jpg,1008,756,1,253,513,293,647
1.4.jpg,1008,756,1,339,511,379,656
1.4.jpg,1008,756,1,427,504,494,663
1.4.jpg,1008,756,1,560,499,638,673
1.4.jpg,1008,756,1,715,497,806,718
(.6.jpg,1008,756,(,326,228,382,303
(.6.jpg,1008,756,(,392,224,471,307
(.6.jpg,1008,756,(,487,224,542,307
(.6.jpg,1008,756,(,566,230,620,316
(.6.jpg,1008,756,(,648,232,693,317
(.6.jpg,1008,756,(,340,315,386,405
(.6.jpg,1008,756,(,422,316,474,415
(.6.jpg,1008,756,(,497,318,554,412
(.6.jpg,1008,756,(,575,317,626,416
(.6.jpg,1008,756,(,645,323,693,428
(.6.jpg,1008,756,(,346,422,387,513
(.6.jpg,1008,756,(,434,415,494,516
(.6.jpg,1008,756,(,518,421,559,513
(.6.jpg,1008,756,(,595,422,640,511
(.6.jpg,1008,756,(,663,433,712,516
7.2.jpg,1008,756,7,260,197,363,317
7.2.jpg,1008,756,7,409,191,497,306
7.2.jpg,1008,756,7,523,189,606,315
7.2.jpg,1008,756,7,621,193,697,315
7.2.jpg,1008,756,7,694,186,783,323
7.2.jpg,1008,756,7,265,342,341,452
7.2.jpg,1008,756,7,382,336,456,445
7.2.jpg,1008,756,7,485,334,554,434
7.2.jpg,1008,756,7,563,326,646,436
7.2.jpg,1008,756,7,662,327,738,439
7.2.jpg,1008,756,7,270,459,342,557
7.2.jpg,1008,756,7,369,456,442,552
7.2.jpg,1008,756,7,468,452,542,559
7.2.jpg,1008,756,7,558,451,617,541
7.2.jpg,1008,756,7,647,447,744,554
n.4.jpg,1008,756,n,265,154,306,234
n.4.jpg,1008,756,n,329,130,412,230
n.4.jpg,1008,756,n,438,117,495,222
n.4.jpg,1008,756,n,528,109,594,200
n.4.jpg,1008,756,n,653,80,734,206
n.4.jpg,1008,756,n,263,270,303,366
n.4.jpg,1008,756,n,326,279,386,377
n.4.jpg,1008,756,n,405,274,464,385
n.4.jpg,1008,756,n,498,271,560,428
n.4.jpg,1008,756,n,628,275,722,440
n.4.jpg,1008,756,n,260,420,300,503
n.4.jpg,1008,756,n,316,428,360,517
n.4.jpg,1008,756,n,387,442,445,548
n.4.jpg,1008,756,n,470,477,535,591
n.4.jpg,1008,756,n,588,509,703,658
add1.13.jpg,1008,756,5,93,75,240,250
add1.13.jpg,1008,756,x,306,117,394,222
add1.13.jpg,1008,756,4,459,79,576,247
add1.13.jpg,1008,756,+,635,110,724,201
add1.13.jpg,1008,756,3,748,86,818,240
add1.13.jpg,1008,756,-,873,134,934,183
add1.13.jpg,1008,756,2,100,295,259,439
add1.13.jpg,1008,756,div,288,273,393,371
add1.13.jpg,1008,756,1,489,281,547,404
add1.13.jpg,1008,756,^,636,259,707,365
add1.13.jpg,1008,756,0,739,258,835,389
add1.13.jpg,1008,756,=,864,287,944,381
add1.13.jpg,1008,756,9,109,485,213,645
add1.13.jpg,1008,756,x,285,505,358,591
add1.13.jpg,1008,756,8,444,457,517,592
add1.13.jpg,1008,756,+,626,476,691,562
add1.13.jpg,1008,756,7,744,418,833,565
add1.13.jpg,1008,756,-,874,466,957,526
div.8.jpg,1008,756,div,356,277,430,328
div.8.jpg,1008,756,div,439,274,498,320
div.8.jpg,1008,756,div,505,266,571,322
div.8.jpg,1008,756,div,571,264,624,316
div.8.jpg,1008,756,div,636,264,693,318
div.8.jpg,1008,756,div,365,356,429,418
div.8.jpg,1008,756,div,444,352,506,413
div.8.jpg,1008,756,div,509,350,569,412
div.8.jpg,1008,756,div,579,351,636,409
div.8.jpg,1008,756,div,647,344,711,409
div.8.jpg,1008,756,div,362,432,427,501
div.8.jpg,1008,756,div,441,433,505,501
div.8.jpg,1008,756,div,515,430,571,503
div.8.jpg,1008,756,div,589,426,653,501
div.8.jpg,1008,756,div,662,432,711,485
2.10.jpg,1008,756,2,295,162,362,241
2.10.jpg,1008,756,2,389,159,454,242
2.10.jpg,1008,756,2,469,159,529,235
2.10.jpg,1008,756,2,536,163,574,233
2.10.jpg,1008,756,2,580,164,630,247
2.10.jpg,1008,756,2,294,247,354,328
2.10.jpg,1008,756,2,388,251,441,323
2.10.jpg,1008,756,2,457,240,510,321
2.10.jpg,1008,756,2,524,246,571,322
2.10.jpg,1008,756,2,571,245,613,326
2.10.jpg,1008,756,2,306,334,363,394
2.10.jpg,1008,756,2,363,322,439,403
2.10.jpg,1008,756,2,439,324,494,399
2.10.jpg,1008,756,2,499,322,550,403
2.10.jpg,1008,756,2,563,318,617,398
5.1.jpg,1008,756,5,23,6,185,223
5.1.jpg,1008,756,5,268,6,427,204
5.1.jpg,1008,756,5,482,1,659,201
5.1.jpg,1008,756,5,641,1,821,251
5.1.jpg,1008,756,5,844,1,995,235
5.1.jpg,1008,756,5,16,265,146,438
5.1.jpg,1008,756,5,211,234,364,446
5.1.jpg,1008,756,5,415,220,570,441
5.1.jpg,1008,756,5,607,258,742,454
5.1.jpg,1008,756,5,787,238,985,481
5.1.jpg,1008,756,5,46,489,185,687
5.1.jpg,1008,756,5,227,459,374,693
5.1.jpg,1008,756,5,388,476,556,713
5.1.jpg,1008,756,5,559,476,723,699
5.1.jpg,1008,756,5,781,465,958,724
2.11.jpg,1008,756,2,270,58,452,288
2.11.jpg,1008,756,2,474,51,607,246
2.11.jpg,1008,756,2,626,54,698,213
2.11.jpg,1008,756,2,701,62,763,205
2.11.jpg,1008,756,2,758,63,799,195
2.11.jpg,1008,756,2,275,322,444,516
2.11.jpg,1008,756,2,470,270,586,458
2.11.jpg,1008,756,2,606,229,677,401
2.11.jpg,1008,756,2,688,217,741,374
2.11.jpg,1008,756,2,742,216,792,345
2.11.jpg,1008,756,2,310,558,457,710
2.11.jpg,1008,756,2,450,492,579,651
2.11.jpg,1008,756,2,580,439,651,585
2.11.jpg,1008,756,2,652,401,720,534
2.11.jpg,1008,756,2,735,368,783,497
div.9.jpg,1008,756,div,88,109,244,247
div.9.jpg,1008,756,div,285,93,435,252
div.9.jpg,1008,756,div,479,93,621,242
div.9.jpg,1008,756,div,635,60,798,223
div.9.jpg,1008,756,div,806,68,952,233
div.9.jpg,1008,756,div,95,342,259,497
div.9.jpg,1008,756,div,291,329,456,483
div.9.jpg,1008,756,div,475,324,605,488
div.9.jpg,1008,756,div,627,304,776,487
div.9.jpg,1008,756,div,805,295,938,469
div.9.jpg,1008,756,div,112,534,271,687
div.9.jpg,1008,756,div,293,536,444,680
div.9.jpg,1008,756,div,453,526,629,666
div.9.jpg,1008,756,div,634,521,764,665
div.9.jpg,1008,756,div,794,527,889,616
