filename,width,height,class,xmin,ymin,xmax,ymax
>.139.jpg,45,45,>,10,1,39,45
+.79.jpg,45,45,+,6,1,40,45
).174.jpg,45,45,),14,1,30,45
9.25.jpg,45,45,9,5,1,38,45
).160.jpg,45,45,),16,1,29,45
9.31.jpg,45,45,9,5,1,39,45
5.188.jpg,45,45,5,1,4,44,42
>.38.jpg,45,45,>,8,1,38,45
8.197.jpg,45,45,8,9,1,35,45
3.132.jpg,45,45,3,7,1,35,45
).148.jpg,45,45,),11,1,32,45
sqrt.57.jpg,45,45,sqrt,1,7,45,38
7.34.jpg,45,45,7,9,1,34,45
+.45.jpg,45,45,+,5,1,39,45
>.105.jpg,45,45,>,8,1,38,45
+.51.jpg,45,45,+,1,1,44,45
>.111.jpg,45,45,>,4,1,40,45
sqrt.43.jpg,45,45,sqrt,1,1,45,43
0.29.jpg,45,45,0,3,1,43,45
3.126.jpg,45,45,3,7,1,37,45
8.183.jpg,45,45,8,6,1,37,45
8.168.jpg,45,45,8,9,1,35,45
n.138.jpg,45,45,n,1,3,40,37
8.154.jpg,45,45,8,7,1,36,45
n.110.jpg,45,45,n,1,1,40,43
+.86.jpg,45,45,+,5,1,40,45
5.163.jpg,45,45,5,1,1,45,44
sqrt.94.jpg,45,45,sqrt,1,8,44,34
5.177.jpg,45,45,5,3,1,44,45
sqrt.80.jpg,45,45,sqrt,1,10,45,33
+.92.jpg,45,45,+,1,7,45,38
8.140.jpg,45,45,8,4,1,38,45
n.104.jpg,45,45,n,8,7,45,37
(.165.jpg,45,45,(,11,1,35,45
=.41.jpg,45,45,=,2,13,45,32
sqrt.195.jpg,45,45,sqrt,1,1,44,45
4.65.jpg,45,45,4,9,1,27,45
:.48.jpg,45,45,/,12,1,32,45
sqrt.181.jpg,45,45,sqrt,2,1,45,44
4.71.jpg,45,45,4,6,1,29,45
=.55.jpg,45,45,=,1,7,45,35
3.78.jpg,45,45,3,6,1,39,45
4.199.jpg,45,45,4,2,1,28,45
(.171.jpg,45,45,(,12,1,32,45
3.50.jpg,45,45,3,6,1,35,45
(.159.jpg,45,45,(,10,1,34,44
(.28.jpg,45,45,(,14,1,31,45
2.123.jpg,45,45,2,6,1,38,45
9.186.jpg,45,45,9,7,1,33,45
4.59.jpg,45,45,4,5,1,37,45
:.74.jpg,45,45,/,9,4,32,45
9.192.jpg,45,45,9,5,1,41,45
:.60.jpg,45,45,/,13,1,32,45
2.137.jpg,45,45,2,2,1,42,45
=.69.jpg,45,45,=,1,7,45,35
3.44.jpg,45,45,3,5,1,38,45
=.82.jpg,45,45,=,1,10,45,34
x.170.jpg,45,45,x,5,1,39,45
9.179.jpg,45,45,9,11,1,33,45
sqrt.156.jpg,45,45,sqrt,1,12,45,36
sqrt.142.jpg,45,45,sqrt,1,3,45,41
x.164.jpg,45,45,x,5,1,41,45
=.96.jpg,45,45,=,1,5,45,38
4.172.jpg,45,45,4,1,4,26,42
3.93.jpg,45,45,3,5,1,37,45
9.145.jpg,45,45,9,9,1,35,45
x.158.jpg,45,45,x,3,1,38,45
9.151.jpg,45,45,9,5,1,40,45
3.87.jpg,45,45,3,5,1,40,45
4.166.jpg,45,45,4,7,1,35,45
6.60.jpg,45,45,6,5,1,38,45
div.56.jpg,45,45,div,1,3,44,45
^.110.jpg,45,45,^,1,3,45,35
-.140.jpg,45,45,-,1,12,45,28
1.69.jpg,45,45,1,11,1,39,45
-.154.jpg,45,45,-,1,15,45,30
:.119.jpg,45,45,/,11,1,33,45
div.42.jpg,45,45,div,1,4,45,39
^.104.jpg,45,45,^,3,1,39,45
6.74.jpg,45,45,6,3,1,41,45
8.59.jpg,45,45,8,5,1,41,45
div.122.jpg,45,45,div,3,1,44,45
8.71.jpg,45,45,8,8,1,34,45
7.106.jpg,45,45,7,10,1,34,45
1.194.jpg,45,45,1,12,1,33,45
1.55.jpg,45,45,1,9,1,38,45
-.24.jpg,45,45,-,1,16,45,29
